image_path,image_name,sample_id,position,repeat_index,status,length_px,dx_px,dy_px,angle_deg,measurement_method,x1_px,y1_px,x2_px,y2_px,band_bbox_x,band_bbox_y,band_bbox_w,band_bbox_h,component_area_px,component_fill,threshold,band_slope,confidence,band_confidence,edge_confidence,edge_left_x_px,edge_right_x_px,edge_left_strength,edge_right_strength,edge_left_contrast,edge_right_contrast,edge_profile_height_px,reference_length_px,length_delta_from_reference_px,length_ratio_to_reference,overlay_path,message
sample_1/pos_1/Pic_2026_04_23_142748_296.bmp,Pic_2026_04_23_142748_296.bmp,s1,pos1,,OK,2737.110338,2737.081112,12.648765,0.264777,subpixel_projection_edge,143.552404,821.094972,2880.633515,833.743737,144,785,2734,274,555525,0.741574,122.000000,-0.000326,0.956600,1.000000,0.956600,139.092637,2880.204373,13.816356,18.704157,254.999969,254.999969,274,2737.127188,-0.016850,0.999994,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142748_296_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142750_297.bmp,Pic_2026_04_23_142750_297.bmp,s1,pos1,,OK,2737.138839,2737.107783,13.038773,0.272938,subpixel_projection_edge,143.541455,815.828859,2880.649238,828.867632,144,779,2733,280,555161,0.725473,122.000000,-0.000183,0.960459,1.000000,0.960459,139.081689,2880.220095,13.921621,18.830036,254.999969,254.999969,280,2737.127188,0.011651,1.000004,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142750_297_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142752_298.bmp,Pic_2026_04_23_142752_298.bmp,s1,pos1,,OK,2737.125131,2737.097599,12.276709,0.256987,subpixel_projection_edge,143.547236,816.055076,2880.644835,828.331785,144,779,2734,279,555371,0.728082,122.000000,-0.000461,0.957340,1.000000,0.957340,139.087470,2880.215692,13.836556,18.781820,254.999969,254.999969,279,2737.127188,-0.002057,0.999999,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142752_298_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142754_299.bmp,Pic_2026_04_23_142754_299.bmp,s1,pos1,,OK,2737.132427,2737.098368,13.654551,0.285829,subpixel_projection_edge,143.551293,820.592079,2880.649662,834.246630,144,785,2734,274,555719,0.741833,122.000000,0.000042,0.957248,1.000000,0.957248,139.091527,2880.220519,13.834026,18.837820,254.999969,254.999969,274,2737.127188,0.005239,1.000002,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142754_299_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142756_300.bmp,Pic_2026_04_23_142756_300.bmp,s1,pos1,,OK,2737.136779,2737.108398,12.464676,0.260921,subpixel_projection_edge,143.550311,821.032202,2880.658709,833.496878,144,785,2734,273,555743,0.744583,122.000000,-0.000393,0.956188,1.000000,0.956188,139.090545,2880.229566,13.805114,18.960442,254.999969,254.999969,273,2737.127188,0.009591,1.000004,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142756_300_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142758_301.bmp,Pic_2026_04_23_142758_301.bmp,s1,pos1,,OK,2737.143386,2737.120234,11.257834,0.235657,subpixel_projection_edge,143.529911,821.790438,2880.650145,833.048272,144,785,2734,274,555264,0.741226,122.000000,-0.000834,0.965462,1.000000,0.965462,139.070145,2880.221003,14.058064,18.937420,254.999969,254.999969,274,2737.127188,0.016198,1.000006,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142758_301_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142800_302.bmp,Pic_2026_04_23_142800_302.bmp,s1,pos1,,OK,2737.139643,2737.107606,13.243118,0.277216,subpixel_projection_edge,143.531954,820.797796,2880.639560,834.040914,144,785,2734,274,555401,0.741409,122.000000,-0.000108,0.962630,1.000000,0.962630,139.072188,2880.210417,13.980828,18.737263,254.999969,254.999969,274,2737.127188,0.012455,1.000005,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142800_302_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142802_303.bmp,Pic_2026_04_23_142802_303.bmp,s1,pos1,,OK,2737.124524,2737.095098,12.691748,0.265675,subpixel_projection_edge,143.540061,820.918665,2880.635159,833.610414,144,785,2734,273,555562,0.744340,122.000000,-0.000310,0.958778,1.000000,0.958778,139.080294,2880.206016,13.875776,18.749735,254.999969,254.999969,273,2737.127188,-0.002665,0.999999,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142802_303_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142804_304.bmp,Pic_2026_04_23_142804_304.bmp,s1,pos1,,OK,2737.117176,2737.086802,12.894637,0.269923,subpixel_projection_edge,143.553274,820.972037,2880.640077,833.866673,144,785,2734,274,555573,0.741638,122.000000,-0.000236,0.957546,1.000000,0.957546,139.093508,2880.210934,13.842155,18.689188,254.999969,254.999969,274,2737.127188,-0.010012,0.999996,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142804_304_overlay.png,
sample_1/pos_1/Pic_2026_04_23_142806_305.bmp,Pic_2026_04_23_142806_305.bmp,s1,pos1,,OK,2737.143520,2737.111797,13.177984,0.275852,subpixel_projection_edge,143.520493,820.675548,2880.632290,833.853532,144,785,2734,273,555629,0.744430,122.000000,-0.000132,0.965123,1.000000,0.965123,139.060727,2880.203147,14.048800,18.713379,254.999969,254.999969,273,2737.127188,0.016331,1.000006,output/detection_overlays/sample_1__pos_1__Pic_2026_04_23_142806_305_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142831_307.bmp,Pic_2026_04_23_142831_307.bmp,s1,pos2,,OK,2733.734151,2733.734147,0.140728,0.002949,subpixel_projection_edge,163.598153,504.884545,2897.332300,505.025273,163,463,2731,271,559433,0.755887,122.000000,-0.004895,0.934907,1.000000,0.934907,159.138387,2896.903157,13.224739,14.803802,254.999969,254.999969,271,2737.127188,-3.393038,0.998760,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142831_307_overlay.png,
